Location,Latitude,Longitude,DisplayName,GeocodeSource,GeocodeConfidence
"10611 Chevrolet Way, Estero, FL",26.4298554,-81.7804136,"Hampton Inn & Suites Ft. Myers-Estero, 10611, Chevrolet Way, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"20275 Sherrill Ln, Estero, FL",26.4457620,-81.8287120,"20275, Sherrill Lane, Breckenridge, Riverwoods Plantation, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"20897 Three Oaks Parkway, Estero, FL",26.4536978,-81.7888904,"Three Oaks Parkway, Coastal Village Apartments, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"21115 Design Parc Lane, Estero, FL",26.4317010,-81.7996992,"21115, Design Parc Lane, The Estates at Estero River, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"21115 Design Parc Lane, Estero, FL 33928",26.4317010,-81.7996992,"21115, Design Parc Lane, The Estates at Estero River, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"21500 Three Oaks Parkway, Estero, FL",26.4271230,-81.7885540,"21500, Three Oaks Parkway, Colonial Oaks, Shadow Wood, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"21500 Three Oaks Parkway, Estero, FL 33928",26.4271230,-81.7885540,"21500, Three Oaks Parkway, Colonial Oaks, Shadow Wood, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"4406 and 4410 Coconut Road, Estero, FL",26.398566005006,-81.82671497661,"4410 Coconut Rd, Bonita Springs, Florida, 34134",arcgis_world_geocoder,0.98
"645 feet south of Salerno Bay Road, Estero, FL",26.392585349452,-81.783956541579,"Salerno Bay Rd, Bonita Springs, Florida, 34135",arcgis_world_geocoder,0.88
"8800 Corkscrew Road, Estero, FL",26.4314144,-81.8086842,"8800, Corkscrew Road, The Estates at Estero River, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"8801 Corkscrew Road, Estero, FL",26.4314164,-81.8086621,"8801, Corkscrew Road, The Estates at Estero River, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"9000 Williams Road, Estero, FL",26.4201213,-81.8206708,"Williams Road, Meadows of Estero, Rapallo at Coconut Point, Shadow Wood, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"9201 and 9301 Corkscrew Road, Estero, FL",26.432264859989,-81.801155452524,"9301 Corkscrew Rd, Estero, Florida, 33928",arcgis_world_geocoder,0.98
"9401 Corkscrew Palms Circle, Estero, FL",26.4307470,-81.7981430,"9401, Corkscrew Palms Circle, The Estates at Estero River, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"Bella Terra, Estero, FL",26.4346867,-81.7289876,"Bella Terra, Estero, Lee County, Florida, 33965, United States",nominatim,0.7
"Ben Hill Griffin Parkway, Estero, FL",26.4377157,-81.7708838,"Ben Hill Griffin Parkway, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"Broadway Avenue West, Estero, FL",26.4419378,-81.8241581,"Broadway Avenue West, Breckenridge, Cranbrook Harbor, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"Broadway Avenue, Estero, FL",26.4419378,-81.8241581,"Broadway Avenue West, Terra Vista, Cranbrook Harbor, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"Coconut Point, Estero, FL",26.4038818,-81.8077365,"Coconut Point, Coconut Road, Spring Run, Shadow Wood, Estero, Lee County, Florida, 34136, United States",nominatim,0.7
"Coconut Road, Estero, FL",26.3980991,-81.8099138,"Coconut Road, Residences at Coconut Point, Shadow Wood, Estero, Lee County, Florida, 34136, United States",nominatim,0.7
"Estero Parkway, Estero, FL",26.4491802,-81.7986456,"Estero Parkway, Rookery Pointe, The Reef Student Living, Estero, Lee County, Florida, 33967, United States",nominatim,0.7
"Estero River, Estero, FL",26.4360313,-81.8217353,"Estero River, Shadow Wood, Estero, Lee County, Florida, United States",nominatim,0.7
"Genova, Estero, FL",26.43765,-81.804994,"Estero, Florida",arcgis_world_geocoder,0.83
"Koreshan State Park, Estero, FL",26.4360624,-81.8162709,"Koreshan State Historic Site, Cranbrook Harbor, Estero, Lee County, Florida, United States",nominatim,0.7
"River Oaks Preserve, Estero, FL",26.4420079,-81.7993579,River Oaks Preserve,arcgis_world_geocoder,1.0
"River Ranch Road, Estero, FL",26.4257950,-81.7946350,"River Ranch Road, The Lakes of Estero, Shadow Wood, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"Sandy Lane, Estero, FL",26.4384205,-81.8049874,"Sandy Lane, The Estates at Estero River, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"Shadow Wood, Estero, FL",26.4099337,-81.7949565,"Shadow Wood, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"Stoneybrook, Estero, FL",26.4298062,-81.7679548,"Stoneybrook, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"The Brooks, Estero, FL",26.3926426,-81.7753764,"Lighthouse Bay at the Brooks, Shadow Wood, Estero, Lee County, Florida, 34136, United States",nominatim,0.7
"Three Oaks Parkway, Estero, FL",26.4472506,-81.7886807,"Three Oaks Parkway, Villagio, The Reef Student Living, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"US 41, Estero, FL",26.4400826,-81.8108702,"South Tamiami Trail, Cypress Bend RV Resort, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
"Williams Road, Estero, FL",26.4201213,-81.8206708,"Williams Road, Meadows of Estero, Rapallo at Coconut Point, Shadow Wood, Estero, Lee County, Florida, 33928, United States",nominatim,0.7
